Employer name (English) / 僱主名稱 (英文) ,Employer name (Chinese) / 僱主名稱 (中文) ,Wage subsidy amount (June ‐ August 2020) / 工資補貼金額 (2020年6月至8月) ,Committed headcount under payroll / 
,,,
,,,承諾受薪僱員人數 
,,,
,,,
ADAMAS DIAMONDS FAR EAST LIMITED ,,"27,000.00",1
,,,
ADAMS COMPANY LIMITED ,白武士有限公司 ,"6,852.00",1
,,,
ADBECO CPA LIMITED ,雅柏高會計師行有限公司 ,"189,000.00",7
,,,
ADCO (HK) LTD ,安高(香港)有限公司 ,"203,736.00",7
,,,
ADD CREATIVE LIMITED ,嘉創廣告設計有限公司 ,"135,000.00",5
,,,
ADD DECORATION & DESIGN LTD ,美高裝飾設計有限公司 ,"54,000.00",2
,,,
ADD IN INTERNATIONAL CO LTD ,龍義國際有限公司 ,"118,500.00",5
,,,
ADD NEW ENERGY INVESTMENT HOLDINGS GROUP LIMITED ,愛德新能源投資控股集團有限公司,"81,000.00",3
,,,
ADDCON ASIA LIMITED ,愛德康亞洲有限公司 ,"54,000.00",2
,,,
ADDICTION ,,"15,555.00",1
,,,
ADDITECH TECHNOLOGY DEVELOPMENT LIMITED ,高威科技發展有限公司 ,"20,526.00",1
,,,
ADDITIVE MANUFACTURING FOR MEDICAL APPLICATIONS LTD ,,"54,000.00",2
,,,
ADDVANTAGE EDUCATION LIMITED ,培優教育有限公司 ,"54,000.00",2
,,,
ADE C INTERNATIONAL LIMITED ,愛琳詩國際有限公司 ,"22,500.00",1
,,,
ADEKOM (ASIA PACIFIC) LIMITED ,雅迪勤(亞太)有限公司 ,"65,250.00",3
,,,
ADELAIDE JEWELRY COMPANY LIMITED ,,"27,000.00",1
,,,
ADEPT MEDICAL CENTRE LIMITED ,尚賢醫務中心有限公司 ,"132,000.00",5
,,,
ADF ASIA LIMITED ,,"312,708.00",18
